Employee Name,Employee ID,Age,Gender,City,Department,Position,Salary,Phone Number,Email,Joining Year,Status
Vikram,EMP1000,52,Male,Pune,Admin,Manager,62814,9967317162,employee1@company.com,2020,Active
Tina,EMP1001,56,Female,Pune,IT,Technician,106479,9997358260,employee2@company.com,2015,On Leave
Vikram,EMP1002,41,Female,Hyderabad,Operations,Sales Executive,39054,9998997716,employee3@company.com,2015,Inactive
Rakesh,EMP1003,34,Male,Pune,Finance,Analyst,61608,9911788908,employee4@company.com,2018,Active
Sneha,EMP1004,53,Female,Chennai,HR,Technician,89274,9979837439,employee5@company.com,2019,Inactive
Vikram,EMP1005,35,Female,Delhi,IT,Analyst,119782,9917938371,employee6@company.com,2019,Inactive
Neha,EMP1006,39,Female,Pune,HR,Analyst,80417,9912880030,employee7@company.com,2016,Inactive
Mohan,EMP1007,36,Female,Jaipur,Sales,Technician,51169,9992082686,employee8@company.com,2020,On Leave
Divya,EMP1008,52,Male,Jaipur,Sales,Sales Executive,85786,9933419463,employee9@company.com,2018,On Leave
Divya,EMP1009,40,Male,Pune,Support,Analyst,88865,9930443669,employee10@company.com,2021,On Leave
Sneha,EMP1010,59,Male,Hyderabad,HR,Manager,86918,9971960013,employee11@company.com,2020,On Leave
Riya,EMP1011,52,Male,Mumbai,Finance,Accountant,53887,9933180349,employee12@company.com,2018,Active
Mohan,EMP1012,37,Male,Kolkata,Sales,Accountant,52383,9985161241,employee13@company.com,2020,Inactive
Vikram,EMP1013,50,Female,Mumbai,Finance,Manager,105022,9992848560,employee14@company.com,2020,Active
Arjun,EMP1014,40,Female,Chennai,Operations,Accountant,39382,9971475621,employee15@company.com,2018,Active
Riya,EMP1015,47,Female,Jaipur,Finance,Engineer,54759,9915323568,employee16@company.com,2020,Active
Arjun,EMP1016,37,Male,Mumbai,IT,Engineer,95218,9910827413,employee17@company.com,2021,On Leave
Rakesh,EMP1017,45,Female,Pune,Admin,Technician,103071,9944824271,employee18@company.com,2015,On Leave
Riya,EMP1018,42,Male,Chennai,Finance,Engineer,82857,9936456686,employee19@company.com,2015,On Leave
Neha,EMP1019,59,Female,Delhi,Sales,Accountant,104980,9930493781,employee20@company.com,2017,Inactive
Divya,EMP1020,23,Female,Jaipur,IT,Analyst,78843,9964653040,employee21@company.com,2018,Inactive
Mohan,EMP1021,33,Male,Kolkata,HR,Engineer,47871,9991159225,employee22@company.com,2017,Active
Sneha,EMP1022,53,Female,Chennai,Finance,Sales Executive,54884,9949118902,employee23@company.com,2016,Active
Mohan,EMP1023,37,Female,Pune,Operations,Technician,113373,9910363276,employee24@company.com,2021,On Leave
Rakesh,EMP1024,60,Female,Chennai,HR,Analyst,73406,9917894791,employee25@company.com,2015,On Leave
Neha,EMP1025,44,Male,Jaipur,Finance,Sales Executive,32782,9970278164,employee26@company.com,2020,Active
Ash,EMP1026,56,Female,Chennai,Operations,Accountant,63666,9949821929,employee27@company.com,2015,Active
Riya,EMP1027,54,Female,Delhi,IT,Accountant,25841,9980475278,employee28@company.com,2017,Inactive
Tina,EMP1028,32,Male,Hyderabad,Sales,Sales Executive,41887,9923466093,employee29@company.com,2018,Inactive
Arjun,EMP1029,26,Female,Delhi,HR,HR,107262,9925355453,employee30@company.com,2021,Inactive
Riya,EMP1030,56,Male,Mumbai,Support,Sales Executive,37000,9929789655,employee31@company.com,2020,Active
Ash,EMP1031,51,Male,Chennai,Support,Sales Executive,35677,9947263104,employee32@company.com,2021,Inactive
Arjun,EMP1032,55,Female,Pune,Admin,Analyst,63698,9975768385,employee33@company.com,2016,Inactive
Sneha,EMP1033,42,Female,Hyderabad,Admin,Sales Executive,110064,9929360670,employee34@company.com,2016,On Leave
Rakesh,EMP1034,23,Male,Chennai,Finance,Engineer,101324,9949781077,employee35@company.com,2016,On Leave
Riya,EMP1035,28,Female,Jaipur,Support,Analyst,58959,9929331160,employee36@company.com,2017,On Leave
Neha,EMP1036,22,Male,Delhi,Operations,Sales Executive,96927,9942276821,employee37@company.com,2016,On Leave
Vikram,EMP1037,43,Male,Hyderabad,Sales,HR,100862,9991945957,employee38@company.com,2016,Active
Riya,EMP1038,31,Male,Chennai,IT,HR,76843,9984403201,employee39@company.com,2019,On Leave
Ash,EMP1039,41,Female,Mumbai,Finance,Technician,92797,9928514975,employee40@company.com,2021,Active
Ash,EMP1040,39,Female,Chennai,Sales,Sales Executive,113520,9919177524,employee41@company.com,2018,Active
Divya,EMP1041,57,Female,Bhopal,Support,Accountant,48455,9945598494,employee42@company.com,2021,On Leave
Vikram,EMP1042,29,Female,Pune,Finance,Manager,51128,9915809549,employee43@company.com,2021,Active
Neha,EMP1043,54,Female,Jaipur,IT,Engineer,70646,9949203283,employee44@company.com,2016,Inactive
Mohan,EMP1044,59,Male,Kolkata,Admin,Accountant,41224,9985503888,employee45@company.com,2021,On Leave
Arjun,EMP1045,52,Male,Bhopal,IT,Accountant,30848,9952786793,employee46@company.com,2018,Active
Rakesh,EMP1046,59,Male,Bhopal,HR,Technician,39951,9928725836,employee47@company.com,2018,On Leave
Sneha,EMP1047,28,Female,Pune,Operations,Engineer,27596,9918323796,employee48@company.com,2017,On Leave
Neha,EMP1048,31,Male,Kolkata,IT,Technician,71986,9947575259,employee49@company.com,2018,On Leave
Divya,EMP1049,35,Female,Chennai,Finance,Sales Executive,118393,9964538854,employee50@company.com,2016,On Leave
